resume_text,label
"Data scientist proficient in Big Data, Pandas, SQL, Machine Learning, Python. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Carnegie Mellon.",Data Science
"Data scientist proficient in Python, Statistics, Jupyter, Tableau, Matplotlib. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Carnegie Mellon.",Data Science
"Experienced software engineer with expertise in Java, Linux, AWS, SQL, Git. Previously worked at Airbnb on microservice architecture. Holds a degree in M.Tech in Artificial Intelligence from Georgia Tech.",SWE
"Machine learning engineer skilled in Computer Vision, Spark, Python, Data Pipelines, NLP. Developed models for predictive analytics. Experienced in deploying ML models using AWS SageMaker, TensorFlow Serving. Graduated with a degree in B.Sc in Computer Science from Georgia Tech.",MLE
"Machine learning engineer skilled in Spark, Data Pipelines, Docker, TensorFlow, PyTorch. Developed models for fraud detection. Experienced in deploying ML models using Docker, Kubernetes. Graduated with a degree in Ph.D. in Machine Learning from Georgia Tech.",MLE
"Data scientist proficient in Machine Learning, Big Data, Python, SQL, Matplotlib. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a M.Sc in Data Science from University of Toronto.",Data Science
"Data scientist proficient in Data Visualization, Tableau, Matplotlib, SQL, Pandas. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Sc in Computer Science from University of Toronto.",Data Science
"Data scientist proficient in Machine Learning, Matplotlib, Python, ETL, R. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from University of Toronto.",Data Science
"Experienced software engineer with expertise in Docker, Git, Linux, Kubernetes, SQL. Previously worked at Google on mobile applications. Holds a degree in Ph.D. in Machine Learning from Carnegie Mellon.",SWE
"Data scientist proficient in Pandas, Machine Learning, Statistics, Jupyter, Python. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from University of Toronto.",Data Science
"Data scientist proficient in Statistics, SQL, Jupyter, R, Data Visualization. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a M.Sc in Data Science from Georgia Tech.",Data Science
"Machine learning engineer skilled in Computer Vision, NLP, Data Pipelines, TensorFlow, Deep Learning. Developed models for fraud detection. Experienced in deploying ML models using AWS SageMaker, Docker. Graduated with a degree in B.Tech in Information Technology from Carnegie Mellon.",MLE
"Data scientist proficient in Jupyter, SQL, Statistics, Pandas, Machine Learning. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from MIT.",Data Science
"Data scientist proficient in Tableau, Matplotlib, R, ETL, Python. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from Georgia Tech.",Data Science
"Experienced software engineer with expertise in Java, Python, C++, AWS, CI/CD. Previously worked at Facebook on e-commerce platforms. Holds a degree in M.Sc in Data Science from UC Berkeley.",SWE
"Data scientist proficient in Tableau, R, Pandas, Data Visualization, ETL. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Tech in Information Technology from MIT.",Data Science
"Experienced software engineer with expertise in Git, Linux, SQL, Java, C++. Previously worked at Airbnb on mobile applications. Holds a degree in M.Sc in Data Science from MIT.",SWE
"Experienced software engineer with expertise in Agile, Java, Docker, AWS, Git. Previously worked at Microsoft on mobile applications. Holds a degree in B.Tech in Information Technology from University of Toronto.",SWE
"Experienced software engineer with expertise in Java, Agile, CI/CD, REST APIs, Kubernetes. Previously worked at Facebook on real-time analytics. Holds a degree in B.Sc in Computer Science from UC Berkeley.",SWE
"Experienced software engineer with expertise in Kubernetes, Docker, Python, Git, AWS. Previously worked at Microsoft on e-commerce platforms. Holds a degree in B.Sc in Computer Science from University of Toronto.",SWE
"Data scientist proficient in Python, Data Visualization, Machine Learning, ETL, Big Data. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Tech in Information Technology from MIT.",Data Science
